id,element,claim,canonical_wording,importance,number,population_window,status,caveat,source,report,paper,narrative
4.3,Current hardship,Arrears and unexpected-expense capacity are close to the outcome,Arrears and unexpected-expense capacity are close to the outcome,spine,conceptual caveat,n/a,limitation,not independent predictors,n/a,body,body,note
4.4,Current hardship,Debt and welfare transfers add nothing once housing/cash-flow are in,Debt and welfare transfers add nothing once housing/cash-flow are in,spine,p n.s.,"27 EU, 2015-2024",descriptive,"absorbed, not ruled out",model_scorecard.csv,body,note,note
5.1,Duration,LTU tracks Greek subjective poverty better than any other variable,LTU tracks Greek subjective poverty better than any other variable,spine,r=0.93/0.92/0.86,"Greece, 2009-2024",core,survives FDR on all three columns,correlations_robustness.csv,body,body,body
5.2,Duration,Swapping headline->LTU cuts the OOS gap by two-thirds,Swapping headline->LTU cuts the OOS gap by two-thirds,spine,"11.6 -> 3.9, rank 1st -> 6th","27 EU, 2015-2024",core,replacement not addition (VIF 8-9),model_scorecard_ltu.csv,body,body,body
5.3,Duration,LTU coefficient stable in all 27 LOO refits incl. excluding Greece,LTU coefficient stable in all 27 LOO refits incl. excluding Greece,spine,always p<0.001,27 EU,post-selection,,scorecard_loo_C_LTU_swap.csv,body,body,note
6.1,Accumulation,Cumulative excess unemployment closes the residual,Cumulative excess unemployment closes the residual,spine,3.9 -> -0.8,"27 EU, 2015-2024",post-selection,fixed spec; variable chosen with Greece in panel,cumulative_hardship_checkpoint.csv,body,body,body
6.2,Accumulation,Survives FDR across the 18-candidate screening family,Survives FDR across the 18-candidate screening family,spine,adj p=0.0024,18 tests,exploratory screening,wage-duration also survives at adj p=0.0408,cumulative_hardship_fdr_correction.csv,body,body,note
6.3,Accumulation,Selection is stable under nested rescreening,Selection is stable under nested rescreening,spine,25 of 27 folds,27 folds,post-selection,both exceptions from same duration family,nested_selection_validation_folds.csv,body,body,note
6.4,Accumulation,"Under FULL nested CV Greece is mid-pack, not an outlier","Under FULL nested CV Greece is mid-pack, not an outlier",spine,"+2.70pt, rank 19 of 27",27 folds,post-selection,the conservative figure; -0.8 excludes selection cost,nested_selection_validation_folds.csv,body,body,body
6.5,Accumulation,Negative residual does NOT mean Greeks are optimistic,Negative residual does NOT mean Greeks are optimistic,spine,interpretation,n/a,limitation,property of richest spec only,n/a,body,body,body
6.6,Accumulation,"Mechanism is ~a decade of sustained exposure, not permanent accumulation","Mechanism is ~a decade of sustained exposure, not permanent accumulation",spine,10-yr window fits >= permanent,27 EU,post-selection,3-5yr windows fail,cumulative_hardship_rolling_decay_battery.csv,body,body,note
6.7,Accumulation,"Aggregate variable, individual-level literature: ecological-inference gap","Aggregate variable, individual-level literature: ecological-inference gap",spine,level-of-analysis caveat,n/a,limitation,,n/a,body,body,note
6.8,Accumulation,AROP-threshold cumulative shortfall tested and NULL,AROP-threshold cumulative shortfall tested and NULL,spine,p=0.645,27 EU,core (null),the most anticipated candidate,cumulative_hardship_checkpoint.csv,body,body,body
7.1,What it looked like,Greece has the EU's deepest and longest unresolved pre-crisis GDP shortfall,Greece has the EU's deepest and longest unresolved pre-crisis GDP shortfall,supporting,"-11.2%, 16 yrs; EU median recovery 3 yrs","27 EU, 2008-2024",core,Finland remains 2.3% below 2008; Luxembourg is below a recent 2021 peak,recovery_trajectory.csv,body,body,body
7.2,What it looked like,Real wages remain furthest below 2008 of any EU country,Real wages remain furthest below 2008 of any EU country,supporting,-31.8%,"27 EU, 2024",descriptive,level-only; no independent model power,real_wage_idx2008.csv,body,body,body
7.3,What it looked like,"Highest wage-adjusted price pressure in the EU, every category","Highest wage-adjusted price pressure in the EU, every category",supporting,1st or 2nd of 27,"27 EU, 2024",descriptive,3 yrs coverage; no model test possible,price_pressure.csv,body,note,body
7.4,What it looked like,Mortgage-free owners are overburdened at the EU's highest rate,Mortgage-free owners are overburdened at the EU's highest rate,supporting,25.7% vs next 14.0%,"27 EU, 2024",descriptive,subcomponent of a variable already in the model,housing_tenure.csv,body,note,body
7.5,What it looked like,"Net emigration of 290,281 Greek nationals, now reversing","Net emigration of 290,281 Greek nationals, now reversing",supporting,2.6% of 2008 pop; 5th of 25,2008-2024,descriptive,not uniquely severe in the EU,migration_nationals_panel.csv,body,note,body
7.6,What it looked like,A generational reversal: 65+ worsened while all working-age improved,A generational reversal: 65+ worsened while all working-age improved,supporting,65+ +10.2pt; others -7 to -10pt,"Greece, 2015-2025",descriptive,"distributional, enters no model; small subgroup variance",age_breakdown_arope.csv,body,note,body
7.7,What it looked like,The paradox persists among salaried workers,The paradox persists among salaried workers,supporting,AROP 17th of 27; subjective 1st at 59.5%,"27 EU, 2025",core,,work_effort_status_latest.csv,body,body,body
7.8,What it looked like,"Longest hours, lowest hourly pay","Longest hours, lowest hourly pay",supporting,39.8h (1st) / 14.2 PPS (lowest); salaried hours 7th,"27 EU, 2024",descriptive,cross-sectional only: fails country-FE and first-diff,work_effort_cross_country_latest.csv,body,body,body
8.1,Alternatives,Income inequality does not explain the gap,Income inequality does not explain the gap,supporting,6th of 27; adds nothing,27 EU,core (null),,income_inequality.csv,body,body,body
8.2,Alternatives,Greece was already highest pre-crisis (conceded),Greece was already highest pre-crisis (conceded),supporting,1st of the 6-country 2003 panel,2003-2008,core,coverage-audited across 3 balanced panels,reporting_style_v2_balanced_rankings.csv,body,body,body
8.3,Alternatives,The crisis-era widening is the largest of any EU country,The crisis-era widening is the largest of any EU country,supporting,+19.8pt vs median -8.8pt,27 EU,core,,reporting_style_gap_widening.csv,body,body,body
8.4,Alternatives,DiD survives placebo/randomization inference,DiD survives placebo/randomization inference,supporting,"1st of 27, empirical p=0.037",27 EU,core,single treated unit; RI is the honest p,reporting_style_v2_country_placebo.csv,body,body,note
8.5,Alternatives,Only one pre-treatment year is testable,Only one pre-treatment year is testable,supporting,"2007 coef -0.96, p=0.17",2007-2025,limitation,not an exhaustive pre-trend history,reporting_style_v2_event_study.csv,note,body,--
8.6,Alternatives,"Extremity is financial-specific, not generic pessimism","Extremity is financial-specific, not generic pessimism",supporting,z 3.76/3.20 vs 1.17 life satisfaction,27 EU,core,,reporting_style_v3_standardized_deviations.csv,body,body,body
8.7,Alternatives,"Institutional trust is context, never modeled","Institutional trust is context, never modeled",supporting,7% in 2012,Greece,descriptive,Eurostat holds one year (2013) only,OECD 2026 / Eurobarometer,body,note,body
9.1,Meaning,AROP should not be read alone during a national collapse,AROP should not be read alone during a national collapse,spine,recommendation,n/a,core,generalizes better than any Greek finding,n/a,body,body,body
9.2,Meaning,"All results are associational, from country-level aggregates","All results are associational, from country-level aggregates",spine,limitation,n/a,limitation,,n/a,body,body,body
9.3,Meaning,Results reproduce from the archive and through an isolated end-to-end re-acquisition,Results reproduce from the archive and through an isolated end-to-end re-acquisition,spine,13 of 15 byte-identical,n/a,limitation,live Eurostat revisions mean a fresh pull is not byte-identical to the archived vintage,Makefile reproduce / 00_fetch_missing_raw.py,note,note,note
9.4,Meaning,FDR does not make sequential specifications pre-specified,FDR does not make sequential specifications pre-specified,spine,four-tier evidence taxonomy,n/a,limitation,,n/a,body,body,note
